,PassengerId,Survived,Pclass,Sex,SibSp,Parch,Embarked,Title,GrpSize,FareCat,AgeCat
0,1,0,3,male,1,0,S,Mr,Couple,0-10,16-32
1,2,1,1,female,1,0,C,Mrs,Couple,70-100,32-48
2,3,1,3,female,0,0,S,Miss,Single,0-10,16-32
3,4,1,1,female,1,0,S,Mrs,Couple,40-70,32-48
4,5,0,3,male,0,0,S,Mr,Single,0-10,32-48
5,6,0,3,male,0,0,Q,Mr,Single,0-10,16-32
6,7,0,1,male,0,0,S,Mr,Single,40-70,48-64
7,8,0,3,male,3,1,S,Master,Large Group,10-25,0-16
8,9,1,3,female,0,2,S,Mrs,Groups,10-25,16-32
9,10,1,2,female,1,0,C,Mrs,Couple,25-40,0-16
10,11,1,3,female,1,1,S,Miss,Groups,10-25,0-16
11,12,1,1,female,0,0,S,Miss,Single,25-40,48-64
12,13,0,3,male,0,0,S,Mr,Single,0-10,16-32
13,14,0,3,male,1,5,S,Mr,Large Group,25-40,32-48
14,15,0,3,female,0,0,S,Miss,Single,0-10,0-16
15,16,1,2,female,0,0,S,Mrs,Single,10-25,48-64
16,17,0,3,male,4,1,Q,Master,Large Group,25-40,0-16
17,18,1,2,male,0,0,S,Mr,Single,10-25,16-32
18,19,0,3,female,1,0,S,Mrs,Couple,10-25,16-32
19,20,1,3,female,0,0,C,Mrs,Single,0-10,16-32
20,21,0,2,male,0,0,S,Mr,Couple,25-40,32-48
21,22,1,2,male,0,0,S,Mr,Single,10-25,32-48
22,23,1,3,female,0,0,Q,Miss,Single,0-10,0-16
23,24,1,1,male,0,0,S,Mr,Single,25-40,16-32
24,25,0,3,female,3,1,S,Miss,Large Group,10-25,0-16
25,26,1,3,female,1,5,S,Mrs,Large Group,25-40,32-48
26,27,0,3,male,0,0,C,Mr,Single,0-10,16-32
27,28,0,1,male,3,2,S,Mr,Large Group,100+,16-32
28,29,1,3,female,0,0,Q,Miss,Single,0-10,16-32
29,30,0,3,male,0,0,S,Mr,Single,0-10,16-32
30,31,0,1,male,0,0,C,Rare Title,Single,25-40,32-48
31,32,1,1,female,1,0,C,Mrs,Couple,100+,32-48
32,33,1,3,female,0,0,Q,Miss,Single,0-10,16-32
33,34,0,2,male,0,0,S,Mr,Single,10-25,64+
34,35,0,1,male,1,0,C,Mr,Couple,70-100,16-32
35,36,0,1,male,1,0,S,Mr,Couple,40-70,32-48
36,37,1,3,male,0,0,C,Mr,Single,0-10,16-32
37,38,0,3,male,0,0,S,Mr,Single,0-10,16-32
38,39,0,3,female,2,0,S,Miss,Groups,10-25,16-32
39,40,1,3,female,1,0,C,Miss,Couple,10-25,0-16
40,41,0,3,female,1,0,S,Mrs,Couple,0-10,32-48
41,42,0,2,female,1,0,S,Mrs,Couple,10-25,16-32
42,43,0,3,male,0,0,C,Mr,Single,0-10,16-32
43,44,1,2,female,1,2,C,Miss,Groups,40-70,0-16
44,45,1,3,female,0,0,Q,Miss,Single,0-10,16-32
45,46,0,3,male,0,0,S,Mr,Single,0-10,16-32
46,47,0,3,male,1,0,Q,Mr,Couple,10-25,16-32
47,48,1,3,female,0,0,Q,Miss,Single,0-10,16-32
48,49,0,3,male,2,0,C,Mr,Groups,10-25,16-32
49,50,0,3,female,1,0,S,Mrs,Couple,10-25,16-32
50,51,0,3,male,4,1,S,Master,Large Group,25-40,0-16
51,52,0,3,male,0,0,S,Mr,Single,0-10,16-32
52,53,1,1,female,1,0,C,Mrs,Groups,70-100,48-64
53,54,1,2,female,1,0,S,Mrs,Couple,25-40,16-32
54,55,0,1,male,0,1,C,Mr,Couple,40-70,64+
55,56,1,1,male,0,0,S,Mr,Single,25-40,32-48
56,57,1,2,female,0,0,S,Miss,Single,10-25,16-32
57,58,0,3,male,0,0,C,Mr,Single,0-10,16-32
58,59,1,2,female,1,2,S,Miss,Groups,25-40,0-16
59,60,0,3,male,5,2,S,Master,Large Group,40-70,0-16
60,61,0,3,male,0,0,C,Mr,Single,0-10,16-32
61,62,1,1,female,0,0,S,Miss,Couple,70-100,32-48
62,63,0,1,male,1,0,S,Mr,Couple,70-100,32-48
63,64,0,3,male,3,2,S,Master,Large Group,25-40,0-16
64,65,0,1,male,0,0,C,Mr,Single,25-40,32-48
65,66,1,3,male,1,1,C,Master,Groups,10-25,0-16
66,67,1,2,female,0,0,S,Mrs,Single,10-25,16-32
67,68,0,3,male,0,0,S,Mr,Single,0-10,16-32
68,69,1,3,female,4,2,S,Miss,Large Group,0-10,16-32
69,70,0,3,male,2,0,S,Mr,Groups,0-10,16-32
70,71,0,2,male,0,0,S,Mr,Single,10-25,16-32
71,72,0,3,female,5,2,S,Miss,Large Group,40-70,0-16
72,73,0,2,male,0,0,S,Mr,Large Group,70-100,16-32
73,74,0,3,male,1,0,C,Mr,Couple,10-25,16-32
74,75,1,3,male,0,0,S,Mr,Large Group,40-70,16-32
75,76,0,3,male,0,0,S,Mr,Single,0-10,16-32
76,77,0,3,male,0,0,S,Mr,Single,0-10,16-32
77,78,0,3,male,0,0,S,Mr,Single,0-10,16-32
78,79,1,2,male,0,2,S,Master,Groups,25-40,0-16
79,80,1,3,female,0,0,S,Miss,Couple,10-25,16-32
80,81,0,3,male,0,0,S,Mr,Single,0-10,16-32
81,82,1,3,male,0,0,S,Mr,Single,0-10,16-32
82,83,1,3,female,0,0,Q,Miss,Single,0-10,16-32
83,84,0,1,male,0,0,S,Mr,Single,40-70,16-32
84,85,1,2,female,0,0,S,Miss,Single,10-25,16-32
85,86,1,3,female,3,0,S,Mrs,Groups,10-25,32-48
86,87,0,3,male,1,3,S,Mr,Large Group,25-40,0-16
87,88,0,3,male,0,0,S,Mr,Single,0-10,16-32
88,89,1,1,female,3,2,S,Miss,Large Group,100+,16-32
89,90,0,3,male,0,0,S,Mr,Single,0-10,16-32
90,91,0,3,male,0,0,S,Mr,Single,0-10,16-32
91,92,0,3,male,0,0,S,Mr,Single,0-10,16-32
92,93,0,1,male,1,0,S,Mr,Couple,40-70,32-48
93,94,0,3,male,1,2,S,Mr,Groups,10-25,16-32
94,95,0,3,male,0,0,S,Mr,Single,0-10,48-64
95,96,0,3,male,0,0,S,Mr,Single,0-10,16-32
96,97,0,1,male,0,0,C,Mr,Single,25-40,64+
97,98,1,1,male,0,1,C,Mr,Couple,40-70,16-32
98,99,1,2,female,0,1,S,Mrs,Couple,10-25,32-48
99,100,0,2,male,1,0,S,Mr,Couple,25-40,32-48
100,101,0,3,female,0,0,S,Miss,Single,0-10,16-32
101,102,0,3,male,0,0,S,Mr,Single,0-10,16-32
102,103,0,1,male,0,1,S,Mr,Couple,70-100,16-32
103,104,0,3,male,0,0,S,Mr,Single,0-10,32-48
104,105,0,3,male,2,0,S,Mr,Groups,0-10,32-48
105,106,0,3,male,0,0,S,Mr,Single,0-10,16-32
106,107,1,3,female,0,0,S,Miss,Single,0-10,16-32
107,108,1,3,male,0,0,S,Mr,Single,0-10,16-32
108,109,0,3,male,0,0,S,Mr,Single,0-10,32-48
109,110,1,3,female,1,0,Q,Miss,Groups,10-25,16-32
110,111,0,1,male,0,0,S,Mr,Couple,40-70,32-48
111,112,0,3,female,1,0,C,Miss,Couple,10-25,0-16
112,113,0,3,male,0,0,S,Mr,Single,0-10,16-32
113,114,0,3,female,1,0,S,Miss,Couple,0-10,16-32
114,115,0,3,female,0,0,C,Miss,Couple,10-25,16-32
115,116,0,3,male,0,0,S,Mr,Single,0-10,16-32
116,117,0,3,male,0,0,Q,Mr,Single,0-10,64+
117,118,0,2,male,1,0,S,Mr,Couple,10-25,16-32
118,119,0,1,male,0,1,C,Mr,Couple,100+,16-32
119,120,0,3,female,4,2,S,Miss,Large Group,25-40,0-16
120,121,0,2,male,2,0,S,Mr,Large Group,70-100,16-32
121,122,0,3,male,0,0,S,Mr,Single,0-10,16-32
122,123,0,2,male,1,0,C,Mr,Couple,25-40,32-48
123,124,1,2,female,0,0,S,Miss,Single,10-25,32-48
124,125,0,1,male,0,1,S,Mr,Couple,70-100,48-64
